n_labels,angle_degrees,intercept_offset
4,-14.0,-0.43999999999999995
4,-14.0,-0.42000000000000004
4,-14.0,-0.4
4,-14.0,-0.38
4,-14.0,-0.36
4,-14.0,-0.33999999999999997
4,-14.0,-0.31999999999999995
4,-14.0,-0.29999999999999993
4,-14.0,-0.28
4,-14.0,-0.26
4,-14.0,-0.24
4,-14.0,-0.21999999999999997
4,-14.0,-0.19999999999999996
4,-13.5,-1.0
4,-13.5,-0.98
4,-13.5,-0.96
4,-13.5,-0.94
4,-13.5,-0.92
4,-13.5,-0.9
4,-13.5,-0.88
4,-13.5,-0.86
4,-13.5,-0.84
4,-13.5,-0.8200000000000001
4,-13.5,-0.8
4,-13.5,-0.78
4,-13.5,-0.76
4,-13.5,-0.74
4,-13.5,-0.72
4,-13.5,-0.7
4,-13.5,-0.6799999999999999
4,-13.5,-0.6599999999999999
4,-13.5,-0.64
4,-13.5,-0.62
4,-13.5,-0.6
4,-13.5,-0.5800000000000001
4,-13.5,-0.56
4,-13.5,-0.54
4,-13.5,-0.52
4,-13.5,-0.5
4,-13.5,-0.48
4,-13.5,-0.45999999999999996
4,-13.5,-0.43999999999999995
4,-13.5,-0.42000000000000004
4,-13.5,-0.4
4,-13.5,-0.38
4,-13.5,-0.36
4,-13.5,-0.33999999999999997
4,-13.5,-0.31999999999999995
4,-13.5,-0.29999999999999993
4,-13.5,-0.28
4,-13.5,-0.26
4,-13.5,-0.24
4,-13.5,-0.21999999999999997
4,-13.5,-0.19999999999999996
4,-13.5,-0.17999999999999994
4,-13.0,-1.0
4,-13.0,-0.98
4,-13.0,-0.96
4,-13.0,-0.94
4,-13.0,-0.92
4,-13.0,-0.9
4,-13.0,-0.88
4,-13.0,-0.86
4,-13.0,-0.84
4,-13.0,-0.8200000000000001
4,-13.0,-0.8
4,-13.0,-0.78
4,-13.0,-0.76
4,-13.0,-0.74
4,-13.0,-0.72
4,-13.0,-0.7
4,-13.0,-0.6799999999999999
4,-13.0,-0.6599999999999999
4,-13.0,-0.64
4,-13.0,-0.62
4,-13.0,-0.6
4,-13.0,-0.5800000000000001
4,-13.0,-0.56
